 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12
1499	960.864	842.196	936.450	692.278	1526.444	566.317	617.156	1053.833	1129.725	442.296	552.581	1036.054
1500	908.273	822.275	942.400	693.574	1562.019	563.293	645.281	1012.767	1079.800	436.778	543.093	989.108
1501	896.500	793.412	921.075	682.241	1431.907	577.561	675.312	993.717	1053.250	428.259	540.163	990.432
1502	862.500	794.059	944.700	704.407	1286.722	575.561	676.219	970.400	1027.525	444.556	552.256	1019.216
1503	923.864	851.784	1042.750	729.685	1211.204	662.000	700.812	1420.283	1147.700	461.259	574.721	1105.784
1504	1047.273	879.373	1351.325	795.741	1194.556	694.439	706.875	2001.517	1274.675	570.407	669.814	1235.514
1505	1000.841	877.471	1310.975	781.259	1066.759	695.146	677.094	2104.917	1205.875	626.518	661.651	1188.919
1506	986.841	893.412	1286.150	822.593	1003.889	718.951	690.312	2050.167	1170.450	857.667	707.628	1248.973
1507	1002.636	912.314	1275.975	836.982	951.982	730.000	737.812	1948.900	1139.325	953.444	808.558	1311.946
1508	1235.614	969.275	1340.550	914.704	958.870	749.829	824.875	1921.133	1213.500	1250.704	1111.023	1384.135
1509	1770.409	1260.843	1505.975	1031.278	1127.704	840.902	907.938	2404.517	1501.775	2282.407	1467.209	1759.811
1510	1861.432	1210.196	1452.375	1007.944	1137.685	819.171	923.500	2417.750	1520.575	2307.667	1489.442	1705.432
1511	1842.386	1138.137	1401.275	991.130	1081.037	809.341	917.531	2392.067	1462.225	2366.481	1438.512	1686.081
1512	1908.955	1102.177	1305.925	936.185	1070.481	786.781	930.281	2328.683	1445.875	2283.407	1420.233	1637.027
1513	1726.341	1029.137	1250.275	912.259	949.148	774.659	919.156	2267.300	1424.875	2059.630	1384.163	1556.649
1514	1685.455	1029.216	1202.700	878.759	920.741	775.951	906.406	2236.983	1433.750	2003.407	1332.093	1545.189
1515	1762.568	1014.000	1201.825	874.982	888.111	770.683	943.000	2357.183	1595.550	1903.333	1318.326	1520.946
1516	1923.818	1023.745	1265.975	870.000	887.556	756.878	983.594	2533.250	1683.150	1878.444	1417.721	1580.946
1517	1786.023	966.863	1221.675	839.463	921.130	734.512	957.625	2402.150	1594.825	1843.852	1344.186	1527.324
1518	2061.750	1140.529	1208.375	866.685	1983.741	816.488	974.281	2315.450	2559.925	1941.926	1298.721	1574.378
1519	2319.432	1272.490	1228.900	900.056	2874.074	832.878	987.562	2270.700	3463.175	1679.481	1205.744	1642.838
1520	2115.364	1163.392	1127.025	822.259	2733.796	790.122	934.281	2104.050	3329.975	1442.333	1059.372	1524.595
1521	1929.932	1105.882	1140.375	820.185	2626.019	785.195	901.156	2158.217	3277.000	1224.037	974.884	1495.108
1522	1724.568	1019.647	1071.600	777.574	2450.537	736.902	838.781	1997.883	3013.975	1065.556	879.651	1412.973
1523	1649.636	1007.039	1101.300	754.796	2473.463	691.878	828.531	1917.000	2778.800	923.926	812.860	1395.405
1524	1651.886	1033.667	1193.125	742.741	2314.352	673.366	800.344	1882.783	2605.425	808.444	786.953	1418.541
1525	1471.114	1037.392	1196.675	760.482	2144.833	642.707	807.625	1841.167	2424.775	768.815	754.465	1387.865
1526	1353.909	974.824	1165.600	738.111	1937.685	615.585	780.500	1759.700	2227.900	676.370	719.605	1334.865
1527	1240.841	956.941	1117.275	728.167	1786.667	627.561	804.625	1733.567	2040.775	642.778	702.279	1285.135
1528	1263.909	936.667	1125.050	749.759	1682.444	602.390	782.594	1825.317	1966.100	588.482	664.349	1293.811
1529	1209.750	944.000	1067.150	836.907	1832.852	656.073	924.625	1616.250	1824.000	591.259	718.605	1172.649
1530	1166.045	1097.784	1100.125	891.352	2673.407	780.488	1023.344	1532.100	1960.050	609.296	756.279	1232.649
1531	1188.091	1124.549	1147.025	840.611	3234.667	786.195	1028.188	1479.950	2125.600	637.333	765.442	1452.432
1532	1129.273	1037.059	1156.025	787.315	3092.981	758.024	898.344	1377.433	1909.375	623.333	726.163	1483.892
1533	1128.568	1064.039	1303.075	835.093	2890.722	781.756	897.000	1954.200	1998.300	665.111	755.163	1624.838
1534	1272.545	1192.275	1701.975	889.389	2785.111	808.293	904.906	3440.467	2148.725	795.704	978.279	1745.324
1535	1089.205	1076.784	1512.975	842.018	2524.407	753.707	849.375	3513.083	1803.000	731.185	937.093	1638.189
1536	993.682	988.235	1360.300	778.407	2275.574	711.829	795.812	3438.767	1543.525	759.000	813.372	1484.000
1537	1125.818	1127.686	1741.500	743.907	2018.574	682.317	716.312	3547.067	1464.725	870.148	908.023	1557.649
1538	1486.841	1223.039	2362.675	782.148	1980.037	719.756	745.906	3547.450	1476.025	983.111	1337.442	1536.297
1539	1396.659	1158.039	2364.775	820.130	1831.648	702.585	718.906	3468.267	1364.650	895.667	1377.395	1456.514
1540	1389.364	1193.863	2584.225	851.185	1790.722	775.634	794.281	3348.433	1331.825	924.074	1595.070	1423.054
1541	1352.795	1145.941	2875.175	819.370	1605.111	765.781	743.750	3340.800	1305.675	1146.667	1674.884	1465.568
1542	1213.023	1099.588	2727.400	799.963	1468.389	736.951	712.062	3260.050	1266.575	1273.407	1606.558	1400.162
1543	1141.477	1011.824	2473.425	794.815	1335.593	714.732	655.781	3206.800	1190.550	1118.370	1438.791	1325.243
1544	1126.795	984.078	2257.300	771.926	1242.907	710.683	632.375	3132.883	1163.150	1068.111	1334.581	1284.892
1545	1054.341	966.020	1990.075	755.315	1128.130	679.512	604.062	3052.683	1111.550	1184.333	1273.023	1270.703
1546	991.295	898.608	1802.800	762.185	1050.537	674.415	591.625	3034.550	1119.475	1100.481	1156.488	1284.189
1547	938.341	923.784	1751.775	730.333	994.926	645.073	590.469	2942.983	1074.625	1120.852	1071.977	1208.919
1548	986.273	1158.627	1714.650	753.222	1403.500	685.659	572.719	2894.583	1237.875	1031.222	1074.093	1225.973
1549	1419.659	1384.490	1592.575	800.482	2483.519	775.317	632.562	2772.317	1606.050	888.333	1075.860	1389.595
1550	1464.045	1354.294	1440.825	773.296	2503.352	725.756	647.031	2624.500	1527.525	775.333	990.349	1346.324
1551	1335.750	1159.392	1318.650	747.482	2300.185	685.195	595.656	2439.933	1380.475	695.111	912.163	1251.730
1552	1134.091	1085.490	1260.275	725.870	2120.593	651.878	574.844	2322.317	1244.300	606.704	827.674	1182.108
1553	1057.818	1040.765	1171.475	698.741	1943.759	604.951	570.469	2239.750	1188.550	579.815	767.233	1196.595
1554	991.045	965.961	1103.200	688.611	1787.204	599.585	575.469	2101.967	1108.425	498.148	719.442	1124.622
1555	918.955	941.078	1055.650	678.667	1635.370	600.732	592.188	2000.983	1060.300	499.407	687.279	1067.378
